2010-10-22 17:50:42 Debug: Notice (1024): Please change the value of 'Security.salt' in app/config/core.php to a salt value specific to your application in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\cake\libs\debugger.php, line 684]
2010-10-23 12:01:27 Debug: Notice (8): Undefined variable: action_msg in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\controllers\customers_controller.php, line 57]
2010-10-24 21:25:51 Debug: Notice (8): Undefined variable: action_msg in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\controllers\customers_controller.php, line 68]
2010-10-24 21:26:14 Debug: Notice (8): Undefined variable: action_msg in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\controllers\customers_controller.php, line 68]
2010-10-24 21:27:04 Debug: Notice (8): Undefined variable: action_msg in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\controllers\customers_controller.php, line 68]
2010-10-24 21:28:11 Debug: Notice (8): Undefined variable: action_msg in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\controllers\customers_controller.php, line 68]
2010-10-24 21:28:27 Debug: Notice (8): Undefined variable: action_msg in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\controllers\customers_controller.php, line 68]
2010-10-24 21:28:32 Debug: Notice (8): Undefined variable: action_msg in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\controllers\customers_controller.php, line 68]
2010-10-24 21:30:14 Debug: Notice (8): Undefined variable: action_msg in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\controllers\customers_controller.php, line 68]
2010-10-24 21:32:11 Debug: Notice (8): Undefined variable: action_msg in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\controllers\customers_controller.php, line 68]
2010-10-24 21:32:36 Debug: Notice (8): Undefined variable: action_msg in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\controllers\customers_controller.php, line 68]
2010-10-24 21:33:25 Debug: Notice (8): Undefined variable: action_msg in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\controllers\customers_controller.php, line 68]
2010-10-24 21:33:34 Debug: Notice (8): Undefined variable: action_msg in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\controllers\customers_controller.php, line 68]
2010-10-24 21:34:41 Debug: Notice (8): Undefined variable: action_msg in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\controllers\customers_controller.php, line 68]
2010-10-24 21:34:51 Debug: Notice (8): Undefined variable: action_msg in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\controllers\customers_controller.php, line 68]
2010-10-24 21:35:00 Debug: Notice (8): Undefined variable: action_msg in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\controllers\customers_controller.php, line 68]
2010-10-24 21:39:35 Debug: Notice (8): Undefined variable: action_msg in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\controllers\customers_controller.php, line 68]
2010-10-24 21:39:43 Debug: Notice (8): Undefined variable: action_msg in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\controllers\customers_controller.php, line 68]
2010-10-24 21:39:49 Debug: Notice (8): Undefined variable: action_msg in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\controllers\customers_controller.php, line 68]
2010-10-24 21:40:03 Debug: Notice (8): Undefined variable: action_msg in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\controllers\customers_controller.php, line 68]
2010-10-24 21:40:10 Debug: Notice (8): Undefined variable: action_msg in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\controllers\customers_controller.php, line 68]
2010-10-24 21:40:15 Debug: Notice (8): Undefined variable: action_msg in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\controllers\customers_controller.php, line 68]
2010-10-24 21:44:49 Debug: Notice (8): Undefined variable: action_msg in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\controllers\customers_controller.php, line 68]
2010-10-24 21:44:58 Debug: Notice (8): Undefined variable: action_msg in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\controllers\customers_controller.php, line 68]
2010-10-24 21:45:03 Debug: Notice (8): Undefined variable: action_msg in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\controllers\customers_controller.php, line 68]
2010-10-24 21:45:18 Debug: Notice (8): Undefined variable: action_msg in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\controllers\customers_controller.php, line 68]
2010-10-25 00:51:49 Debug: Notice (8): Undefined variable: paging in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\customers\search.ctp, line 30]
2010-10-25 00:53:05 Debug: Notice (8): Use of undefined constant pageCount - assumed 'pageCount' in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\customers\search.ctp, line 31]
2010-10-25 00:54:46 Debug: Notice (8): Undefined index: pageCount in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\customers\search.ctp, line 31]
2010-10-25 00:55:59 Debug: Notice (8): Undefined index: pageCount in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\customers\search.ctp, line 31]
2010-10-25 01:21:29 Debug: Notice (8): Undefined variable: custom_paginator in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\customers\search.ctp, line 29]
2010-10-25 02:23:46 Debug: Notice (8): Undefined variable: customPaginator in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\controllers\customers_controller.php, line 44]
2010-10-25 02:24:07 Debug: Notice (8): Undefined property: CustomersController::$customPaginator in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\controllers\customers_controller.php, line 44]
2010-10-25 02:24:12 Debug: Notice (8): Undefined property: CustomersController::$customPaginator in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\controllers\customers_controller.php, line 44]
2010-10-25 02:50:06 Debug: Notice (8): Undefined variable: url in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\controllers\customers_controller.php, line 44]
2010-10-25 03:08:04 Debug: Notice (8): Undefined index: name in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\controllers\customers_controller.php, line 40]
2010-10-25 03:15:23 Debug: Notice (8): Undefined index: name in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\controllers\customers_controller.php, line 40]
2010-10-25 03:15:23 Debug: Notice (8): Undefined property: CustomersController::$Pagination in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\controllers\customers_controller.php, line 46]
2010-10-25 03:15:34 Debug: Notice (8): Undefined property: CustomersController::$Pagination in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\controllers\customers_controller.php, line 46]
2010-10-25 03:15:56 Debug: Notice (8): Undefined property: CustomersController::$CustomPaginator in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\controllers\customers_controller.php, line 46]
2010-10-25 03:18:35 Debug: Notice (8): Undefined property: CustomersController::$CustomPaginator in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\controllers\customers_controller.php, line 45]
2010-10-25 22:44:59 Debug: Notice (8): Undefined index: store in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\elements\customers\paging.ctp, line 17]
2010-10-25 23:28:14 Debug: Notice (8): Undefined property: View::$class in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\layouts\search_form.ctp, line 34]
2010-10-25 23:53:20 Debug: Notice (8): Undefined variable: data in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\elements\customers\paging.ctp, line 24]
2010-10-25 23:53:20 Debug: Notice (8): Undefined variable: javascript in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\layouts\default.ctp, line 15]
2010-10-25 23:54:13 Debug: Notice (8): Undefined variable: javascript in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\layouts\default.ctp, line 15]
2010-10-25 23:54:16 Debug: Notice (8): Undefined variable: javascript in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\layouts\default.ctp, line 15]
2010-10-25 23:55:07 Debug: Notice (8): Undefined variable: javascript in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\layouts\default.ctp, line 15]
2010-10-26 00:10:40 Debug: Notice (8): Undefined variable: params in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\customers\display.ctp, line 1]
2010-10-26 00:10:40 Debug: Notice (8): Undefined variable: javascript in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\layouts\default.ctp, line 15]
2010-10-26 00:11:09 Debug: Notice (8): Undefined variable: params in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\customers\display.ctp, line 1]
2010-10-26 00:11:09 Debug: Notice (8): Undefined variable: javascript in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\layouts\default.ctp, line 15]
2010-10-26 00:11:16 Debug: Notice (8): Undefined index: pageCount in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\customers\display.ctp, line 1]
2010-10-26 00:11:17 Debug: Notice (8): Undefined variable: javascript in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\layouts\default.ctp, line 15]
2010-10-26 00:11:25 Debug: Notice (8): Undefined variable: javascript in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\layouts\default.ctp, line 15]
2010-10-26 00:13:22 Debug: Notice (8): Undefined variable: params in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\helpers\custom_paginator.php, line 5]
2010-10-26 00:13:23 Debug: Notice (8): Undefined variable: javascript in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\layouts\default.ctp, line 15]
2010-10-26 00:13:51 Debug: Notice (8): Undefined variable: javascript in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\layouts\default.ctp, line 15]
2010-10-26 00:39:42 Debug: Notice (8): Undefined variable: javascript in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\layouts\default.ctp, line 15]
2010-10-26 00:40:41 Debug: Notice (8): Undefined variable: javascript in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\layouts\default.ctp, line 15]
2010-10-26 00:42:03 Debug: Notice (8): Undefined variable: javascript in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\layouts\default.ctp, line 15]
2010-10-26 00:43:31 Debug: Notice (8): Undefined variable: javascript in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\layouts\default.ctp, line 15]
2010-10-26 00:43:44 Debug: Notice (8): Undefined variable: javascript in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\layouts\default.ctp, line 15]
2010-10-26 00:43:56 Debug: Notice (8): Undefined variable: javascript in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\layouts\default.ctp, line 15]
2010-10-26 00:44:15 Debug: Notice (8): Undefined variable: javascript in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\layouts\default.ctp, line 15]
2010-10-26 00:49:00 Debug: Notice (8): Undefined variable: javascript in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\layouts\default.ctp, line 15]
2010-10-26 00:53:28 Debug: Notice (8): Undefined variable: javascript in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\layouts\default.ctp, line 15]
2010-10-26 00:54:40 Debug: Notice (8): Undefined variable: javascript in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\layouts\default.ctp, line 15]
2010-10-26 00:54:50 Debug: Notice (8): Undefined variable: javascript in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\layouts\default.ctp, line 15]
2010-10-26 00:55:07 Debug: Notice (8): Undefined variable: javascript in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\layouts\default.ctp, line 15]
2010-10-26 00:55:19 Debug: Notice (8): Undefined variable: javascript in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\layouts\default.ctp, line 15]
2010-10-26 00:55:39 Debug: Notice (8): Undefined variable: javascript in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\layouts\default.ctp, line 15]
2010-10-26 00:55:48 Debug: Notice (8): Undefined variable: javascript in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\layouts\default.ctp, line 15]
2010-10-26 00:57:27 Debug: Notice (8): Undefined variable: paginate in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\controllers\components\paging.php, line 6]
2010-10-26 00:57:27 Debug: Notice (8): Undefined variable: javascript in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\layouts\default.ctp, line 15]
2010-10-26 00:58:32 Debug: Notice (8): Undefined variable: javascript in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\layouts\default.ctp, line 15]
2010-10-26 00:58:59 Debug: Notice (8): Undefined property: CustomersController::$paging in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\controllers\customers_controller.php, line 33]
2010-10-26 01:01:38 Debug: Notice (8): Undefined property: PagingComponent::$modelClass in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\controllers\components\paging.php, line 29]
2010-10-26 01:01:38 Debug: Notice (8): Undefined property: PagingComponent::$name in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\controllers\components\paging.php, line 54]
2010-10-26 01:03:30 Debug: Notice (8): Undefined variable: extra in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\controllers\components\paging.php, line 22]
2010-10-26 01:03:30 Debug: Notice (8): Undefined variable: defaults in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\controllers\components\paging.php, line 31]
2010-10-26 01:04:47 Debug: Notice (8): Undefined variable: extra in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\controllers\components\paging.php, line 14]
2010-10-26 01:04:47 Debug: Notice (8): Undefined variable: defaults in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\controllers\components\paging.php, line 23]
2010-10-26 01:08:20 Debug: Notice (8): Undefined variable: extra in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\controllers\components\paging.php, line 14]
2010-10-26 01:08:20 Debug: Notice (8): Undefined variable: defaults in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\controllers\components\paging.php, line 23]
2010-10-26 01:08:37 Debug: Notice (8): Undefined variable: defaults in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\controllers\components\paging.php, line 23]
2010-10-26 01:20:33 Debug: Notice (8): Undefined variable: model in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\helpers\custom_paginator.php, line 24]
2010-10-26 01:22:46 Debug: Notice (8): Undefined index: Customers in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\helpers\custom_paginator.php, line 24]
2010-10-26 01:23:12 Debug: Notice (8): Use of undefined constant paging - assumed 'paging' in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\helpers\custom_paginator.php, line 24]
2010-10-26 01:23:12 Debug: Notice (8): Undefined index: paging in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\helpers\custom_paginator.php, line 24]
2010-10-26 01:23:23 Debug: Notice (8): Undefined index: paging in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\helpers\custom_paginator.php, line 24]
2010-10-26 01:23:36 Debug: Notice (8): Undefined index: paging in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\helpers\custom_paginator.php, line 25]
2010-10-26 01:24:27 Debug: Notice (8): Undefined index: paging in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\helpers\custom_paginator.php, line 25]
2010-10-26 01:38:36 Debug: Notice (8): Undefined property: CustomersController::$Customers in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\controllers\customers_controller.php, line 28]
2010-10-26 01:39:08 Debug: Notice (8): Undefined variable: limit in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\controllers\customers_controller.php, line 29]
2010-10-26 01:39:08 Debug: Notice (8): Undefined property: CustomersController::$Customers in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\controllers\customers_controller.php, line 31]
2010-10-26 01:39:36 Debug: Notice (8): Undefined variable: limit in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\controllers\customers_controller.php, line 29]
2010-10-26 01:39:49 Debug: Notice (8): Undefined property: CustomersController::$Customers in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\controllers\customers_controller.php, line 31]
2010-10-26 01:40:04 Debug: Notice (8): Undefined variable: data in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\controllers\customers_controller.php, line 56]
2010-10-26 01:40:04 Debug: Notice (8): Undefined variable: page in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\elements\customers\paging.ctp, line 1]
2010-10-26 01:40:04 Debug: Notice (8): Undefined variable: page in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\elements\customers\paging.ctp, line 2]
2010-10-26 01:40:04 Debug: Notice (8): Undefined variable: pageCount in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\elements\customers\paging.ctp, line 3]
2010-10-26 01:40:04 Debug: Notice (8): Undefined variable: page in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\elements\customers\paging.ctp, line 3]
2010-10-26 01:40:04 Debug: Notice (8): Undefined variable: pageCount in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\elements\customers\paging.ctp, line 4]
2010-10-26 01:40:04 Debug: Notice (8): Undefined variable: page in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\elements\customers\paging.ctp, line 4]
2010-10-26 01:41:56 Debug: Notice (8): Undefined variable: pageCount in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\controllers\customers_controller.php, line 54]
2010-10-26 01:41:56 Debug: Notice (8): Undefined variable: data in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\controllers\customers_controller.php, line 56]
2010-10-26 01:43:54 Debug: Notice (8): Undefined index: pageCount in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\controllers\customers_controller.php, line 59]
2010-10-26 01:53:00 Debug: Notice (8): Undefined variable: order in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\elements\customers\paging.ctp, line 11]
2010-10-26 02:14:25 Debug: Notice (8): Undefined variable: page in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\elements\customers\paging.ctp, line 3]
2010-10-26 02:14:25 Debug: Notice (8): Undefined variable: page in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\elements\customers\paging.ctp, line 4]
2010-10-26 02:14:25 Debug: Notice (8): Undefined variable: pageCount in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\elements\customers\paging.ctp, line 5]
2010-10-26 02:14:25 Debug: Notice (8): Undefined variable: page in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\elements\customers\paging.ctp, line 5]
2010-10-26 02:14:25 Debug: Notice (8): Undefined variable: pageCount in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\elements\customers\paging.ctp, line 6]
2010-10-26 02:14:25 Debug: Notice (8): Undefined variable: page in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\elements\customers\paging.ctp, line 6]
2010-10-26 02:15:18 Debug: Notice (8): Undefined variable: page in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\elements\customers\paging.ctp, line 4]
2010-10-26 02:18:07 Debug: Notice (8): Undefined variable: javascript in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\layouts\default.ctp, line 15]
2010-10-26 02:29:55 Debug: Notice (8): Undefined variable: javascript in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\layouts\default.ctp, line 15]
2010-10-26 02:35:37 Debug: Notice (8): Undefined variable: javascript in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\layouts\default.ctp, line 15]
2010-10-26 02:35:42 Debug: Notice (8): Undefined variable: javascript in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\layouts\default.ctp, line 15]
2010-10-26 02:36:16 Debug: Notice (8): Undefined variable: javascript in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\layouts\default.ctp, line 15]
2010-10-26 02:36:19 Debug: Notice (8): Undefined variable: javascript in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\layouts\default.ctp, line 15]
2010-10-26 02:36:28 Debug: Notice (8): Undefined variable: javascript in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\layouts\default.ctp, line 15]
2010-10-26 02:37:08 Debug: Notice (8): Undefined variable: javascript in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\layouts\default.ctp, line 15]
2010-10-26 02:37:21 Debug: Notice (8): Undefined variable: javascript in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\layouts\default.ctp, line 15]
2010-10-26 02:37:41 Debug: Notice (8): Undefined variable: javascript in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\layouts\default.ctp, line 15]
2010-10-26 02:38:25 Debug: Notice (8): Undefined variable: javascript in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\layouts\default.ctp, line 15]
2010-10-26 02:45:20 Debug: Notice (8): Undefined variable: javascript in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\layouts\default.ctp, line 15]
2010-10-26 02:46:32 Debug: Notice (8): Undefined variable: javascript in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\layouts\default.ctp, line 15]
2010-10-26 02:47:11 Debug: Notice (8): Undefined variable: javascript in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\layouts\default.ctp, line 15]
2010-10-26 02:47:43 Debug: Notice (8): Undefined variable: javascript in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\layouts\default.ctp, line 15]
2010-10-26 02:48:05 Debug: Notice (8): Undefined variable: javascript in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\layouts\default.ctp, line 15]
2010-10-26 02:48:16 Debug: Notice (8): Undefined variable: javascript in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\layouts\default.ctp, line 15]
2010-10-26 02:48:56 Debug: Notice (8): Undefined variable: javascript in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\layouts\default.ctp, line 15]
2010-10-26 02:49:18 Debug: Notice (8): Undefined index: id in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\controllers\products_controller.php, line 101]
2010-10-26 02:49:18 Debug: Notice (8): Undefined index: name in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\controllers\products_controller.php, line 102]
2010-10-26 02:49:18 Debug: Notice (8): Undefined variable: javascript in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\layouts\default.ctp, line 15]
2010-10-26 02:49:51 Debug: Notice (8): Undefined index: id in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\controllers\products_controller.php, line 101]
2010-10-26 02:49:51 Debug: Notice (8): Undefined index: id in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\controllers\products_controller.php, line 102]
2010-10-26 02:49:51 Debug: Notice (8): Undefined variable: javascript in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\layouts\default.ctp, line 15]
2010-10-26 02:50:25 Debug: Notice (8): Undefined variable: javascript in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\layouts\default.ctp, line 15]
2010-10-26 02:51:14 Debug: Notice (8): Undefined variable: javascript in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\layouts\default.ctp, line 15]
2010-10-26 02:51:18 Debug: Notice (8): Undefined variable: javascript in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\layouts\default.ctp, line 15]
2010-10-26 02:51:22 Debug: Notice (8): Undefined variable: javascript in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\layouts\default.ctp, line 15]
2010-10-26 02:51:25 Debug: Notice (8): Undefined variable: javascript in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\layouts\default.ctp, line 15]
2010-10-26 03:10:19 Debug: Notice (8): Undefined variable: javascript in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\layouts\default.ctp, line 15]
2010-10-26 03:10:21 Debug: Notice (8): Undefined variable: javascript in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\layouts\default.ctp, line 15]
2010-10-26 03:10:31 Debug: Notice (8): Undefined variable: javascript in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\layouts\default.ctp, line 15]
2010-10-26 22:16:58 Debug: Notice (8): Undefined variable: javascript in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\layouts\default.ctp, line 15]
2010-10-26 22:17:06 Debug: Notice (8): Undefined variable: javascript in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\layouts\default.ctp, line 15]
2010-10-26 22:17:24 Debug: Notice (8): Undefined variable: javascript in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\layouts\default.ctp, line 15]
